State,Division,Winner,Party
NSW,Banks,MELHAM,ALP
NSW,Barton,McCLELLAND,ALP
NSW,Bennelong,HOWARD,LP
NSW,Berowra,RUDDOCK,LP
NSW,Blaxland,HATTON,ALP
NSW,Bradfield,NELSON,LP
NSW,Calare,ANDREN,IND
NSW,Charlton,HOARE,ALP
NSW,Chifley,PRICE,ALP
NSW,Cook,BAIRD,LP
NSW,Cowper,HARTSUYKER,NPA
NSW,Cunningham,MARTIN,ALP
NSW,Dobell,TICEHURST,LP
NSW,Eden-Monaro,NAIRN,LP
NSW,Farrer,LEY,LP
NSW,Fowler,IRWIN,ALP
NSW,Gilmore,GASH,LP
NSW,Grayndler,ALBANESE,ALP
NSW,Greenway,MOSSFIELD,ALP
NSW,Gwydir,ANDERSON,NPA
NSW,Hughes,VALE,LP
NSW,Hume,SCHULTZ,LP
NSW,Hunter,FITZGIBBON,ALP
NSW,Kingsford Smith,BRERETON,ALP
NSW,Lindsay,KELLY,LP
NSW,Lowe,MURPHY,ALP
NSW,Lyne,VAILE,NPA
NSW,Macarthur,FARMER,LP
NSW,Mackellar,BISHOP,LP
NSW,Macquarie,BARTLETT,LP
NSW,Mitchell,CADMAN,LP
NSW,New England,WINDSOR,IND
NSW,Newcastle,GRIERSON,ALP
NSW,North Sydney,HOCKEY,LP
NSW,Page,CAUSLEY,NPA
NSW,Parkes,COBB,NPA
NSW,Parramatta,CAMERON,LP
NSW,Paterson,BALDWIN,LP
NSW,Prospect,CROSIO,ALP
NSW,Reid,FERGUSON,ALP
NSW,Richmond,ANTHONY,NPA
NSW,Riverina,HULL,NPA
NSW,Robertson,LLOYD,LP
NSW,Shortland,HALL,ALP
NSW,Sydney,PLIBERSEK,ALP
NSW,Throsby,GEORGE,ALP
NSW,Warringah,ABBOTT,LP
NSW,Watson,McLEAY,ALP
NSW,Wentworth,KING,LP
NSW,Werriwa,LATHAM,ALP
VIC,Aston,PIERCE,LP
VIC,Ballarat,KING,ALP
VIC,Batman,FERGUSON,ALP
VIC,Bendigo,GIBBONS,ALP
VIC,Bruce,GRIFFIN,ALP
VIC,Burke,O'CONNOR,ALP
VIC,Calwell,VAMVAKINOU,ALP
VIC,Casey,SMITH,LP
VIC,Chisholm,BURKE,ALP
VIC,Corangamite,McARTHUR,LP
VIC,Corio,O'CONNOR,ALP
VIC,Deakin,BARRESI,LP
VIC,Dunkley,BILLSON,LP
VIC,Flinders,HUNT,LP
VIC,Gellibrand,ROXON,ALP
VIC,Gippsland,McGAURAN,NPA
VIC,Goldstein,KEMP,LP
VIC,Higgins,COSTELLO,LP
VIC,Holt,BYRNE,ALP
VIC,Hotham,CREAN,ALP
VIC,Indi,PANOPOULOS,LP
VIC,Isaacs,CORCORAN,ALP
VIC,Jagajaga,MACKLIN,ALP
VIC,Kooyong,GEORGIOU,LP
VIC,La Trobe,CHARLES,LP
VIC,Lalor,GILLARD,ALP
VIC,Mcewen,BAILEY,LP
VIC,Mcmillan,ZAHRA,ALP
VIC,Mallee,FORREST,NPA
VIC,Maribyrnong,SERCOMBE,ALP
VIC,Melbourne,TANNER,ALP
VIC,Melbourne Ports,DANBY,ALP
VIC,Menzies,ANDREWS,LP
VIC,Murray,STONE,LP
VIC,Scullin,JENKINS,ALP
VIC,Wannon,HAWKER,LP
VIC,Wills,THOMPSON,ALP
QLD,Blair,THOMPSON,LP
QLD,Bowman,SCIACCA,ALP
QLD,Brisbane,BEVIS,ALP
QLD,Capricornia,LIVERMORE,ALP
QLD,Dawson,KELLY,NPA
QLD,Dickson,DUTTON,LP
QLD,Fadden,JULL,LP
QLD,Fairfax,SOMLYAY,LP
QLD,Fisher,SLIPPER,LP
QLD,Forde,ELSON,LP
QLD,Griffith,RUDD,ALP
QLD,Groom,MacFARLANE,LP
QLD,Herbert,LINDSAY,LP
QLD,Hinkler,NEVILLE,NPA
QLD,Kennedy,KATTER,IND
QLD,Leichhardt,ENTSCH,LP
QLD,Lilley,SWAN,ALP
QLD,Longman,BROUGH,LP
QLD,Mcpherson,MAY,LP
QLD,Maranoa,SCOTT,NPA
QLD,Moncrieff,CIOBO,LP
QLD,Moreton,HARDGRAVE,LP
QLD,Oxley,RIPOLL,ALP
QLD,Petrie,GAMBARO,LP
QLD,Rankin,EMERSON,ALP
