State,Division,Winner,Party
NSW,Barrier,THOMAS,ALP
NSW,Calare,PIGOTT,LP
NSW,Cook,CATTS,ALP
NSW,Cowper,THOMSON,LP
NSW,Dalley,HOWE,ALP
NSW,Darling,SPENCE,ALP
NSW,East Sydney,WEST,ALP
NSW,Eden-Monaro,CHAPMAN,LP
NSW,Gwydir,WEBSTER,ALP
NSW,Hume,PATTEN,LP
NSW,Hunter,CHARLTON,ALP
NSW,Illawarra,BURNS,ALP
NSW,Lang,JOHNSON,LP
NSW,Macquarie,CARR,ALP
NSW,Nepean,ORCHARD,LP
NSW,New England,ABBOTT,LP
NSW,Newcastle,WATKINS,ALP
NSW,North Sydney,RYRIE,LP
NSW,Parkes,SMITH,LP
NSW,Parramatta,COOK,LP
NSW,Richmond,MASSY-GREENE,LP
NSW,Riverina,FALKINER,LP
NSW,Robertson,FLEMING,LP
NSW,South Sydney,RILEY,ALP
NSW,Wentworth,KELLY,LP
NSW,Werriwa,CONROY,LP
NSW,West Sydney,HUGHES,ALP
VIC,Balaclava,WYNNE,LP
VIC,Ballaarat,McGRATH,ALP
VIC,Batman,BRENNAN,ALP
VIC,Bendigo,ARTHUR,ALP
VIC,Bourke,ANSTEY,ALP
VIC,Corangamite,MANIFOLD,LP
VIC,Corio,KENDELL,LP
VIC,Echuca,PALMER,LP
VIC,Fawkner,HANNAN,ALP
VIC,Flinders,IRVINE,LP
VIC,Gippsland,BENNETT,LP
VIC,Grampians,IRVINE,LP
VIC,Henty,BOYD,LP
VIC,Indi,AHERN,LP
VIC,Kooyong,BEST,LP
VIC,Maribyrnong,FENTON,ALP
VIC,Melbourne,MALONEY,ALP
VIC,Melbourne Ports,MATHEWS,ALP
VIC,Wannon,RODGERS,LP
VIC,Wimmera,SAMPSON,LP
VIC,Yarra,TUDOR,ALP
QLD,Brisbane,FINLAYSON,ALP
QLD,Capricornia,HIGGS,ALP
QLD,Darling Downs,GROOM,LP
QLD,Herbert,BAMFORD,ALP
QLD,Kennedy,McDONALD,ALP
QLD,Lilley,STUMM,LP
QLD,Maranoa,PAGE,ALP
QLD,Moreton,SINCLAIR,LP
QLD,Oxley,SHARPE,ALP
QLD,Wide Bay,FISHER,ALP
SA,Adelaide,ROBERTS,ALP
SA,Angas,GLYNN,LP
SA,Barker,LIVINGSTON,LP
SA,Boothby,DANKEL,ALP
SA,Grey,POYNTON,ALP
SA,Hindmarsh,ARCHIBALD,ALP
SA,Wakefield,FOSTER,LP
WA,Dampier,GREGORY,LP
WA,Fremantle,BURCHELL,ALP
WA,Kalgoorlie,FRAZER,ALP
WA,Perth,FOWLER,LP
WA,Swan,FORREST,LP
TAS,Bass,JENSEN,ALP
TAS,Darwin,O'MALLEY,ALP
TAS,Denison,SMITH,ALP
TAS,Franklin,McWILLIAMS,LP
TAS,Wilmot,ATKINSON,LP
