State,Division,Winner,Party
NSW,Banks,MARTIN,ALP
NSW,Barton,REYNOLDS,ALP
NSW,Bennelong,HOWARD,LP
NSW,Berowra,EDWARDS,LP
NSW,Blaxland,KEATING,ALP
NSW,Bradfield,CONNOLLY,LP
NSW,Calare,ENGLAND,CP
NSW,Chifley,ARMITAGE,ALP
NSW,Cook,THORBURN,ALP
NSW,Cowper,ROBINSON,CP
NSW,Cunningham,CONNOR,ALP
NSW,Darling,FITZPATRICK,ALP
NSW,Eden-Monaro,WHAN,ALP
NSW,Evans,MULDER,ALP
NSW,Farrer,FAIRBAIRN,LP
NSW,Grayndler,DALY,ALP
NSW,Gwydir,HUNT,CP
NSW,Hughes,JOHNSON,ALP
NSW,Hume,LUSHER,CP
NSW,Hunter,JAMES,ALP
NSW,Kingsford-Smith,BOWEN,ALP
NSW,Lang,STEWART,ALP
NSW,Lowe,McMAHON,LP
NSW,Lyne,LUCOCK,CP
NSW,Macarthur,KERIN,ALP
NSW,Mackellar,WENTWORTH,LP
NSW,Macquarie,LUCHETTI,ALP
NSW,Mitchell,CADMAN,LP
NSW,New England,SINCLAIR,CP
NSW,Newcastle,JONES,ALP
NSW,North Sydney,GRAHAM,LP
NSW,Parramatta,RUDDOCK,LP
NSW,Paterson,O'KEEFE,CP
NSW,Phillip,RIORDAN,ALP
NSW,Prospect,KLUGMAN,ALP
NSW,Reid,UREN,ALP
NSW,Richmond,ANTHONY,CP
NSW,Riverina,SULLIVAN,CP
NSW,Robertson,COHEN,ALP
NSW,St George,MORRISON,ALP
NSW,Shortland,MORRIS,ALP
NSW,Sydney,COPE,ALP
NSW,Warringah,MACKELLAR,LP
NSW,Wentworth,ELLICOTT,LP
NSW,Werriwa,WHITLAM,ALP
VIC,Balaclava,MACPHEE,LP
VIC,Ballaarat,ERWIN,LP
VIC,Batman,GARRICK,ALP
VIC,Bendigo,BOURCHIER,LP
VIC,Bruce,SNEDDEN,LP
VIC,Burke,JOHNSON,ALP
VIC,Casey,MATHEWS,ALP
VIC,Chisholm,STALEY,LP
VIC,Corangamite,STREET,LP
VIC,Corio,SCHOLES,ALP
VIC,Deakin,JARMAN,LP
VIC,Diamond Valley,McKENZIE,ALP
VIC,Flinders,LYNCH,LP
VIC,Gellibrand,WILLIS,ALP
VIC,Gippsland,NIXON,CP
VIC,Henty,CHILD,ALP
VIC,Higgins,GORTON,LP
VIC,Holt,OLDMEADOW,ALP
VIC,Hotham,CHIPP,LP
VIC,Indi,HOLTEN,CP
VIC,Isaacs,CLAYTON,ALP
VIC,Kooyong,PEACOCK,LP
VIC,La Trobe,LAMB,ALP
VIC,Lalor,CAIRNS,ALP
VIC,Mcmillan,HEWSON,CP
VIC,Mallee,FISHER,CP
VIC,Maribyrnong,CASS,ALP
VIC,Melbourne,INNES,ALP
VIC,Melbourne Ports,CREAN,ALP
VIC,Murray,LLOYD,CP
VIC,Scullin,JENKINS,ALP
VIC,Wannon,FRASER,LP
VIC,Wills,BRYANT,ALP
VIC,Wimmera,KING,CP
QLD,Bowman,KEOGH,ALP
QLD,Brisbane,CROSS,ALP
QLD,Capricornia,EVERINGHAM,ALP
QLD,Darling Downs,McVEIGH,CP
QLD,Dawson,PATTERSON,ALP
QLD,Fisher,ADERMANN,CP
QLD,Griffith,CAMERON,LP
QLD,Herbert,BONNETT,LP
QLD,Kennedy,KATTER,CP
QLD,Leichhardt,FULTON,ALP
QLD,Lilley,CAIRNS,LP
QLD,Mcpherson,ROBINSON,LP
QLD,Maranoa,CORBETT,CP
QLD,Moreton,KILLEN,LP
QLD,Oxley,HAYDEN,ALP
QLD,Petrie,HODGES,LP
QLD,Ryan,DRURY,LP
QLD,Wide Bay,MILLAR,CP
SA,Adelaide,HURFORD,ALP
SA,Angas,GILES,LP
SA,Barker,FORBES,LP
SA,Bonython,NICHOLLS,ALP
SA,Boothby,McLEAY,LP
SA,Grey,WALLIS,ALP
SA,Hawker,JACOBI,ALP
SA,Hindmarsh,CAMERON,ALP
SA,Kingston,GUN,ALP
SA,Port Adelaide,YOUNG,ALP
SA,Sturt,WILSON,LP
SA,Wakefield,KELLY,LP
WA,Canning,BUNGEY,LP
WA,Curtin,GARLAND,LP
WA,Forrest,DRUMMOND,LP
WA,Fremantle,BEAZLEY,ALP
WA,Kalgoorlie,COLLARD,ALP
WA,Moore,HYDE,LP
WA,Perth,BERINSON,ALP
WA,Stirling,VINER,LP
WA,Swan,BENNETT,ALP
WA,Tangney,DAWKINS,ALP
TAS,Bass,BARNARD,ALP
TAS,Braddon,DAVIES,ALP
TAS,Denison,COATES,ALP
TAS,Franklin,SHERRY,ALP
TAS,Wilmot,DUTHIE,ALP
NT,Northern Territory,CALDER,CP
ACT,Canberra,ENDERBY,ALP
ACT,Fraser,FRY,ALP
