State,Division,Winner,Party
NSW,Banks,MARTIN,ALP
NSW,Barton,BRADFIELD,LP
NSW,Bennelong,HOWARD,LP
NSW,Berowra,EDWARDS,LP
NSW,Blaxland,KEATING,ALP
NSW,Bradfield,CONNOLLY,LP
NSW,Calare,MACKENZIE,NCP
NSW,Chifley,ARMITAGE,ALP
NSW,Cook,DOBIE,LP
NSW,Cowper,ROBINSON,NCP
NSW,Cunningham,CONNOR,ALP
NSW,Darling,FITZPATRICK,ALP
NSW,Eden-Monaro,SAINSBURY,LP
NSW,Evans,ABEL,LP
NSW,Farrer,FIFE,LP
NSW,Grayndler,WHITLAM,ALP
NSW,Gwydir,HUNT,NCP
NSW,Hughes,JOHNSON,ALP
NSW,Hume,LUSHER,NCP
NSW,Hunter,JAMES,ALP
NSW,Kingsford-Smith,BOWEN,ALP
NSW,Lang,STEWART,ALP
NSW,Lowe,McMAHON,LP
NSW,Lyne,LUCOCK,NCP
NSW,Macarthur,BAUME,LP
NSW,Mackellar,WENTWORTH,LP
NSW,Macquarie,GILLARD,LP
NSW,Mitchell,F,IND
NSW,New England,SINCLAIR,NCP
NSW,Newcastle,JONES,ALP
NSW,North Sydney,GRAHAM,LP
NSW,Parramatta,RUDDOCK,LP
NSW,Paterson,O'KEEFE,NCP
NSW,Phillip,BIRNEY,LP
NSW,Prospect,KLUGMAN,ALP
NSW,Reid,UREN,ALP
NSW,Richmond,ANTHONY,NCP
NSW,Riverina,SULLIVAN,NCP
NSW,Robertson,COHEN,ALP
NSW,St George,NEIL,LP
NSW,Shortland,MORRIS,ALP
NSW,Sydney,McMAHON,ALP
NSW,Warringah,MacKELLAR,LP
NSW,Wentworth,ELLICOTT,LP
NSW,Werriwa,WHITLAM,ALP
VIC,Balaclava,MACPHEE,LP
VIC,Ballaarat,SHORT,LP
VIC,Batman,GARRICK,ALP
VIC,Bendigo,BOURCHIER,LP
VIC,Bruce,SNEDDEN,LP
VIC,Burke,JOHNSON,ALP
VIC,Casey,FALCONER,LP
VIC,Chisholm,STALEY,LP
VIC,Corangamite,STREET,LP
VIC,Corio,SCHOLES,ALP
VIC,Deakin,JARMAN,LP
VIC,Diamond Valley,BROWN,LP
VIC,Flinders,LYNCH,LP
VIC,Gellibrand,WILLIS,ALP
VIC,Gippsland,NIXON,NCP
VIC,Henty,ALDRED,LP
VIC,Higgins,SHIPTON,LP
VIC,Holt,YATES,LP
VIC,Hotham,CHIPP,LP
VIC,Indi,HOLTEN,NCP
VIC,Isaacs,HAMER,LP
VIC,Kooyong,PEACOCK,LP
VIC,La Trobe,BAILLIEU,LP
VIC,Lalor,CAIRNS,ALP
VIC,Mcmillan,SIMON,LP
VIC,Mallee,FISHER,NCP
VIC,Maribyrnong,CASS,ALP
VIC,Melbourne,INNES,ALP
VIC,Melbourne Ports,CREAN,ALP
VIC,Murray,LLOYD,NCP
VIC,Scullin,JENKINS,ALP
VIC,Wannon,FRASER,LP
VIC,Wills,BRYANT,ALP
VIC,Wimmera,KING,NCP
QLD,Bowman,JULL,LP
QLD,Brisbane,JOHNSON,LP
QLD,Capricornia,CARIGE,NCP
QLD,Darling Downs,McVEIGH,NCP
QLD,Dawson,BRAITHWAITE,NCP
QLD,Fisher,ADERMANN,NCP
QLD,Griffith,CAMERON,LP
QLD,Herbert,BONNETT,LP
QLD,Kennedy,KATTER,NCP
QLD,Leichhardt,THOMSON,NCP
QLD,Lilley,CAIRNS,LP
QLD,Mcpherson,ROBINSON,LP
QLD,Maranoa,CORBETT,NCP
QLD,Moreton,KILLEN,LP
QLD,Oxley,HAYDEN,ALP
QLD,Petrie,HODGES,LP
QLD,Ryan,MOORE,LP
QLD,Wide Bay,MILLAR,NCP
SA,Adelaide,HURFORD,ALP
SA,Angas,GILES,LP
SA,Barker,PORTER,LP
SA,Bonython,NICHOLLS,ALP
SA,Boothby,McLEAY,LP
SA,Grey,WALLIS,ALP
SA,Hawker,JACOBI,ALP
SA,Hindmarsh,CAMERON,ALP
SA,Kingston,CHAPMAN,LP
SA,Port Adelaide,YOUNG,ALP
SA,Sturt,WILSON,LP
SA,Wakefield,KELLY,LP
WA,Canning,BUNGEY,LP
WA,Curtin,GARLAND,LP
WA,Forrest,DRUMMOND,LP
WA,Fremantle,BEAZLEY,ALP
WA,Kalgoorlie,COTTER,LP
WA,Moore,HYDE,LP
WA,Perth,McLEAN,LP
WA,Stirling,VINER,LP
WA,Swan,MARTYR,LP
WA,Tangney,RICHARDSON,LP
TAS,Bass,NEWMAN,LP
TAS,Braddon,GROOM,LP
TAS,Denison,HODGMAN,LP
TAS,Franklin,GOODLUCK,LP
TAS,Wilmot,BURR,LP
NT,Northern Territory,CALDER,CLP
ACT,Canberra,HASLEM,LP
ACT,Fraser,FRY,ALP
